osm_id,ZT13,,,,,,,,,,,,,,,,
361607071,20,361607071,,,,,,,,,,,,,,,
205657782,28,205657782#0,205657782#1,205657782#2,205657782#3,205657782#4,,,,,,,,,,,
35928368,12,35928368,,,,,,,,,,,,,,,
114876252,12,114876252,,,,,,,,,,,,,,,
455713130,2,455713130,-455713130,,,,,,,,,,,,,,
455713131,2,455713130,-455713130,,,,,,,,,,,,,,
455722367,2,455722367,-455722367,,,,,,,,,,,,,,
455722372,2,455722372,-455722372,,,,,,,,,,,,,,
133806981,3,133806981#0,133806981#1,-133806981#0,-133806981#1,,,,,,,,,,,,
455722369,3,133806981#2,-133806981#2,,,,,,,,,,,,,,
455084002,4,455084002,,,,,,,,,,,,,,,
103935601,5,103935602,-103935602,,,,,,,,,,,,,,
103935602,5,103935602,-103935602,,,,,,,,,,,,,,
134811810,5,134811810#1,-134811810#1,,,,,,,,,,,,,,
455084003,6,-455084002,,,,,,,,,,,,,,,
456874507,6,456874507,-456874507,,,,,,,,,,,,,,
456874546,6,456874546#1,-456874546#1,,,,,,,,,,,,,,
461254932,7,461254932#1,-461254932#1,,,,,,,,,,,,,,
475694576,7,475694576#1,-475694576#1,,,,,,,,,,,,,,
129811153,13,129811153#0,129811153#1,-129811153#0,-129811153#1,,,,,,,,,,,,
461254934,13,461254934,-461254934,,,,,,,,,,,,,,
43710578,10,43710578,,,,,,,,,,,,,,,
165325232,10,165325232,-165325232,,,,,,,,,,,,,,
457309753,14,-43710578,,,,,,,,,,,,,,,
24263070,14,24263070,,,,,,,,,,,,,,,
48921992,34,48921992,,,,,,,,,,,,,,,
25367028,3,25367028#0,25367028#1,-25367028#0,-25367028#1,,,,,,,,,,,,
36597165,28,36597165,,,,,,,,,,,,,,,
465649967,8,465649967#0,,,,,,,,,,,,,,,
165257880,11,165257880#0,165257880#1,165257880#2,,,,,,,,,,,,,
515326366,11,165257880#0,,,,,,,,,,,,,,,
399697652,13,399697652,-399697652,,,,,,,,,,,,,,
20112792,2,20112792#0,20112792#1,20112792#2,20112792#3,-20112792#0,-20112792#1,-20112792#2,-20112792#3,,,,,,,,
25367322,2,25367322,,,,,,,,,,,,,,,
129587034,2,129587034,,,,,,,,,,,,,,,
455715711,2,455715711,-455715711,,,,,,,,,,,,,,
19896203,14,19896203#0,19896203#1,,,,,,,,,,,,,,
60116375,14,60116375,,,,,,,,,,,,,,,
19896202,20,19896202,,,,,,,,,,,,,,,
422539714,20,19896202,,,,,,,,,,,,,,,
403521404,51,403521404,-403521404,,,,,,,,,,,,,,
165265062,16,165325607,-165325607,,,,,,,,,,,,,,
165325607,16,165325607,-165325607,,,,,,,,,,,,,,
164976438,6,164976438#0,164976438#1,,,,,,,,,,,,,,
45560932,39,45560932#0,,,,,,,,,,,,,,,
19900948,14,19900948,-19900948,,,,,,,,,,,,,,
464935941,41,464935941#1,-464935941#1,,,,,,,,,,,,,,
111771067,3,111771067,-111771067,,,,,,,,,,,,,,
111771071,3,111771071#0,111771071#1,-111771071#0,-111771071#1,,,,,,,,,,,,
329988460,3,329988460#0,329988460#1,-329988460#0,-329988460#1,,,,,,,,,,,,
41258976,5,41258976#1,-41258976#1,,,,,,,,,,,,,,
111771070,5,41258976#1,-41258976#1,,,,,,,,,,,,,,
465656094,5,465656094#1,-465656094#1,,,,,,,,,,,,,,
455083994,7,455083994#1,-455083994#1,,,,,,,,,,,,,,
48680975,9,48680975#1,-48680975#1,,,,,,,,,,,,,,
165217827,9,165217827#0,165217827#1,-165217827#0,-165217827#1,,,,,,,,,,,,
455083993,9,48680975#1,-48680975#1,,,,,,,,,,,,,,
435429811,20,435429811,,,,,,,,,,,,,,,
